country_org,country_dest,trade_flow2014
AUS,AUS,2437913.454704738
AUS,AUT,197.2133051877549
AUS,BEL,738.5164335203401
AUS,BGR,192.0597734202278
AUS,BRA,1952.176151616869
AUS,CAN,1806.54041712287
AUS,CHE,1086.123112756032
AUS,CHN,76645.19546544213
AUS,CZE,143.1068695719771
AUS,DEU,1601.526376424847
AUS,DNK,328.8599064892605
AUS,ESP,673.8323765321858
AUS,EST,9.3766690738442
AUS,FIN,107.7817174616961
AUS,FRA,1271.062157248808
AUS,GBR,3736.422825928714
AUS,GRC,41.40585269628728
AUS,HRV,7.14008337728245
AUS,HUN,25.00092638170446
AUS,IDN,6360.604627224609
AUS,IND,7844.125812794687
AUS,IRL,230.4317210140176
AUS,ITA,886.5318418103629
AUS,JPN,46272.29891172781
AUS,KOR,16057.83867833867
AUS,LTU,7.616626797579074
AUS,LVA,6.988424440180489
AUS,MEX,475.3189502655631
AUS,NLD,941.4057669952402
AUS,NOR,205.0021312380034
AUS,POL,475.3377379449601
AUS,PRT,21.78814039297337
AUS,ROU,72.80439302492971
AUS,ROW,93835.7925162732
AUS,RUS,360.0379454692774
AUS,SVK,46.6568371750377
AUS,SVN,33.58102966540743
AUS,SWE,388.7290927297298
AUS,TUR,677.068647365333
AUS,TWN,11409.2133667355
AUS,USA,10161.41775123625
AUT,AUS,1228.689411459163
AUT,AUT,598635.3417117066
AUT,BEL,3154.928479352237
AUT,BGR,1035.1409116057
AUT,BRA,1373.751377003728
AUT,CAN,1906.558861671873
AUT,CHE,10359.91504948605
AUT,CHN,6561.155007422148
AUT,CZE,5736.820333010078
AUT,DEU,61746.13170370772
AUT,DNK,1015.742190801622
AUT,ESP,2903.513600814485
AUT,EST,144.7259546868957
AUT,FIN,864.9788867560443
AUT,FRA,7995.010366063078
AUT,GBR,5452.467408817223
AUT,GRC,763.7434549601277
AUT,HRV,2229.173535862853
AUT,HUN,6830.650363960503
AUT,IDN,328.119939707862
AUT,IND,942.8671769241134
AUT,IRL,577.4874314892838
AUT,ITA,13121.12355774133
AUT,JPN,2064.428249329403
AUT,KOR,1523.04233265878
AUT,LTU,236.8157037093976
AUT,LVA,214.6781202523021
AUT,MEX,945.4195119545525
AUT,NLD,2858.43995817927
AUT,NOR,846.1374032104071
AUT,POL,5138.198742361099
AUT,PRT,417.2759090652455
AUT,ROU,2612.454673037339
AUT,ROW,32416.06004968332
AUT,RUS,4021.026015018441
AUT,SVK,3013.125488677068
AUT,SVN,2777.160482638052
AUT,SWE,2812.276800256125
AUT,TUR,2288.43639316911
AUT,TWN,549.1810989178809
AUT,USA,10051.60088368829
BEL,AUS,3426.576597213221
BEL,AUT,5488.879074620133
BEL,BEL,836791.6266144206
BEL,BGR,789.9794649647978
BEL,BRA,2519.88231214928
BEL,CAN,2078.886302513835
BEL,CHE,14056.90491199597
BEL,CHN,9733.525920098396
BEL,CZE,3672.124591267456
BEL,DEU,74055.6607167745
BEL,DNK,3874.781694178896
BEL,ESP,10046.06537246552
BEL,EST,353.5217448496137
BEL,FIN,2659.52166336446
BEL,FRA,52697.62620725453
BEL,GBR,31092.29764113751
BEL,GRC,2630.640697787002
BEL,HRV,431.1359352290652
BEL,HUN,2424.465936594763
BEL,IDN,510.8952753196394
BEL,IND,1996.092714074225
BEL,IRL,6307.657844600423
BEL,ITA,19997.6954954685
BEL,JPN,2889.472596795506
BEL,KOR,1547.994005718749
BEL,LTU,758.1593286687573
BEL,LVA,336.682181133455
BEL,MEX,1035.934472846644
BEL,NLD,40558.95177457573
BEL,NOR,3078.608281327181
BEL,POL,6367.825733577357
BEL,PRT,2469.032383910747
BEL,ROU,1341.242079903808
BEL,ROW,128526.439157837
BEL,RUS,5718.492381105774
BEL,SVK,1034.994028869476
BEL,SVN,545.4706090054284
BEL,SWE,9695.058486267459
BEL,TUR,4251.117209675922
BEL,TWN,1123.956827275537
BEL,USA,23990.09455421204
BGR,AUS,36.91223891897171
BGR,AUT,921.1322813962518
BGR,BEL,1672.503885909871
BGR,BGR,91174.20633936503
