destination n (rows) / origin i (columns),AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LVA,MEX,NLD,NOR,POL,PRT,ROU,ROW,RUS,SVK,SVN,SWE,TUR,TWN,USA
AUS,2437913.4547,1228.6894,3426.5766,36.9122,1164.054,2683.7789,3060.1863,48458.5463,590.4006,12142.8008,1273.1002,2495.8869,140.4497,849.5865,4665.9443,8989.8047,116.8473,49.0285,418.2881,6340.3043,2703.4944,1820.6649,5643.1146,14949.6357,11378.879,64.1651,12.0846,1641.7492,3392.9483,522.6182,812.7106,191.1488,84.3304,111103.9884,1053.8306,534.7076,111.5654,1887.7862,1041.6107,5094.7819,26812.9702
AUT,197.2133,598635.3417,5488.8791,921.1323,340.8781,620.4133,6705.9031,4242.4,7205.3092,77550.7895,798.458,2802.4038,118.3693,767.7841,5351.6604,3485.621,205.9257,1267.0127,6197.6314,145.7697,617.2406,1232.3719,11193.5192,1244.7035,1077.0898,286.1646,148.7135,204.6181,4427.303,396.5954,5136.1481,582.6863,3386.7689,18714.3942,5395.9558,4464.53,2632.2086,2149.5786,1913.6032,598.6002,4580.9134
BEL,738.5164,3154.9285,836791.6266,1672.5039,3150.6952,2722.0005,13543.7405,12714.9409,5076.59,52202.207,2372.3426,8702.9289,293.0837,2452.0535,45636.5908,44802.0682,564.4401,697.7188,2205.3641,719.434,2738.3821,10360.2032,13173.9872,4132.9711,2843.1485,577.3703,224.7378,1248.5187,49652.3775,4992.4077,7150.5251,2187.7943,3169.5121,66300.2631,6293.619,1411.638,702.2476,6798.3858,3665.1365,1014.0956,50685.2825
BGR,192.0598,1035.1409,789.9795,91174.2063,195.2435,149.9847,286.8431,1029.0205,842.2345,4149.7579,202.4696,2907.6471,37.6203,71.2354,1142.872,753.8053,1283.8079,114.4791,1049.6713,66.3777,193.9954,178.3767,2225.5236,83.7008,126.0086,39.4684,18.1937,13.31,637.3286,42.7449,1065.7016,88.134,1678.4511,6988.8174,822.8259,318.1235,204.6213,206.1818,2647.4918,120.9502,545.5148
BRA,1952.1762,1373.7514,2519.8823,37.5137,3833238.8949,2145.6892,2722.0122,38987.5908,463.5363,17775.4752,1113.7069,5157.2736,42.2307,714.4733,8791.6304,5091.2086,52.4638,16.7578,440.0929,2737.9828,7085.4715,1278.6006,7566.2374,5558.1729,12166.6761,15.2124,4.2068,5336.118,4370.1059,3724.6631,701.7658,1997.9068,275.327,123922.4023,1875.3742,131.9895,66.2604,2161.7446,1701.8158,4803.7985,40464.1037
CAN,1806.5404,1906.5589,2078.8863,85.9486,3495.0711,2692946.5235,5775.7308,49636.1731,419.9049,17148.2408,1516.1904,2868.8696,66.6405,1526.4414,7370.9038,17522.6098,113.007,90.2035,467.8066,1607.3206,2649.7617,2696.3186,6682.2393,11499.6559,7366.2609,239.8733,49.5578,19757.2246,2938.8396,2327.4839,1760.2167,467.9493,393.3746,64881.0395,3509.0489,291.9118,132.2529,1819.6192,2145.8116,5588.0822,291929.7948
CHE,1086.1231,10359.915,14056.9049,224.8009,560.593,1222.0192,1049093.5214,7292.8658,2469.5735,63954.7397,1517.5058,5278.5062,225.4544,1251.155,17659.4161,19448.5299,339.8068,251.1672,1404.6971,169.9055,1055.82,10285.4051,24098.3224,2495.0587,707.4601,150.7283,490.2426,1097.9435,7618.2906,402.0892,3611.5629,890.081,958.0658,33864.0141,8161.8428,1114.6932,595.182,3340.2276,1556.2391,825.1038,13414.9927
CHN,76645.1955,6561.155,9733.5259,816.408,41012.1752,17815.2936,10925.5924,29319958.623,3101.9063,122900.2854,7624.8194,5883.8106,177.7298,4839.9664,30153.3991,27405.2015,471.6944,130.6386,2493.0965,20986.8202,17736.6209,5842.8044,18456.1692,129230.0299,168773.3798,159.6796,94.6814,7395.2236,14187.94,4572.7089,3183.2765,990.7834,851.4864,804254.2646,31123.0056,2778.351,240.4023,7539.16,3677.9155,120018.9991,112051.4089
CZE,143.1069,5736.8203,3672.1246,420.9968,143.4217,191.7923,1451.9898,8897.8066,331202.0917,42855.074,796.8156,2461.553,48.9367,391.0211,5344.8896,3060.0976,140.3749,232.2534,3667.0396,136.9136,457.6182,886.716,5688.8831,1396.3425,2147.7411,200.0783,86.7233,353.797,4129.4281,205.6017,13351.0289,351.4179,956.2494,12395.5922,5335.7195,7685.8259,614.0799,1331.8053,1357.6218,734.6264,2745.7048
DEU,1601.5264,61746.1317,74055.6607,2877.7557,7024.7347,4154.9717,48316.9697,88464.5642,46695.8013,5388510.2566,19204.906,36647.2902,848.342,10702.0318,97351.5938,54146.9777,1987.4533,1859.6958,29961.9618,4077.237,8637.6837,15168.5134,76512.0583,20382.8192,9916.8854,2497.4644,882.84,4139.3401,147467.3912,20158.3092,63311.9192,5607.2762,11997.2796,127779.9182,30034.0563,15826.1222,5883.2327,20438.0008,25716.7311,7829.73,79938.8009
