country,total_spending_X0_n,total_sales_Y0_n,y0_n,transfer_share_1_minus_y0,position
AUS,2726903.42541649,2725247.38607565,0.9993927,0.0006073,deficit (receives transfers)
AUT,793432.60270036,809693.79453082,1.02049474,-0.02049474,surplus (pays transfers)
BEL,1279536.37771718,1322905.97082105,1.03389477,-0.03389477,surplus (pays transfers)
BGR,125719.92095855,122872.50677206,0.97735113,0.02264887,deficit (receives transfers)
BRA,4150582.29601363,4103504.28490432,0.98865749,0.01134251,deficit (receives transfers)
CAN,3237575.88852464,3256460.74983373,1.00583303,-0.00583303,surplus (pays transfers)
CHE,1314600.56617484,1401663.11614392,1.06622738,-0.06622738,surplus (pays transfers)
CHN,31162795.62771844,31745423.5624395,1.01869627,-0.01869627,surplus (pays transfers)
CZE,473407.72111099,492779.00460965,1.04091882,-0.04091882,surplus (pays transfers)
DEU,6680362.23433495,7070763.12631445,1.05844008,-0.05844008,surplus (pays transfers)
DNK,588031.84041361,614770.29832504,1.04547111,-0.04547111,surplus (pays transfers)
ESP,2561086.15700651,2567905.476,1.00266267,-0.00266267,surplus (pays transfers)
EST,54359.01223912,54519.87982405,1.00295935,-0.00295935,surplus (pays transfers)
FIN,510650.08629571,513668.07232435,1.00591009,-0.00591009,surplus (pays transfers)
FRA,5036882.72163159,5020198.67045557,0.99668762,0.00331238,deficit (receives transfers)
GBR,5301966.83717049,5283497.73809006,0.99651656,0.00348344,deficit (receives transfers)
GRC,393427.42812575,375266.30067215,0.95383868,0.04616132,deficit (receives transfers)
HRV,97082.71309809,97418.90473453,1.00346294,-0.00346294,surplus (pays transfers)
HUN,273494.90859017,284441.87296674,1.04002621,-0.04002621,surplus (pays transfers)
IDN,1706760.41250105,1714343.07029573,1.00444272,-0.00444272,surplus (pays transfers)
IND,3986443.67958016,3983693.50421835,0.99931012,0.00068988,deficit (receives transfers)
IRL,459884.82859519,511609.62933674,1.11247338,-0.11247338,surplus (pays transfers)
ITA,4006714.35869876,4075620.94642899,1.01719778,-0.01719778,surplus (pays transfers)
JPN,8741622.89117995,8669880.07845805,0.99179296,0.00820704,deficit (receives transfers)
KOR,3270185.25291854,3405432.20282437,1.04135758,-0.04135758,surplus (pays transfers)
LTU,83910.63398562,86190.68250136,1.02717234,-0.02717234,surplus (pays transfers)
LVA,65767.39054747,64914.24874518,0.98702789,0.01297211,deficit (receives transfers)
MEX,2128119.18959929,2134852.18993359,1.00316383,-0.00316383,surplus (pays transfers)
NLD,1547356.53240648,1671227.92778376,1.08005356,-0.08005356,surplus (pays transfers)
NOR,775239.62609517,837603.13013552,1.08044416,-0.08044416,surplus (pays transfers)
POL,1086369.35232204,1105443.87064394,1.01755804,-0.01755804,surplus (pays transfers)
PRT,420923.94013221,414280.89368679,0.98421794,0.01578206,deficit (receives transfers)
ROU,397912.0769431,398280.09456815,1.00092487,-0.00092487,surplus (pays transfers)
ROW,26984743.84183854,25715995.05622183,0.95298274,0.04701726,deficit (receives transfers)
RUS,3266169.76444366,3381079.3674049,1.03518176,-0.03518176,surplus (pays transfers)
SVK,222838.9499689,229963.72901411,1.03197277,-0.03197277,surplus (pays transfers)
SVN,93178.74075914,95374.38791935,1.02356382,-0.02356382,surplus (pays transfers)
SWE,986640.79434033,1018198.59549525,1.0319851,-0.0319851,surplus (pays transfers)
TUR,1474884.07578709,1494533.44181551,1.01332265,-0.01332265,surplus (pays transfers)
TWN,1145135.56450054,1221759.03488459,1.06691214,-0.06691214,surplus (pays transfers)
USA,31460802.03206818,30980225.49629884,0.98472459,0.01527541,deficit (receives transfers)
