iteration,max_abs_excess_demand
0,0.012416770241043595
1,0.007537234236836721
2,0.004942981216521147
3,0.003368680454042483
4,0.0023708367207453396
5,0.0017206549859067888
6,0.0012899711974609929
7,0.0009996961355258627
8,0.0008008535027035357
9,0.0006617568243356686
10,0.0005622702736662877
11,0.0004891190761955322
12,0.00043377450848502974
13,0.0003905376871828903
14,0.00035571763833464054
15,0.000326814291888633
16,0.00030219326460811935
17,0.00028072894276842675
18,0.00026167487139661105
19,0.000244505044620702
20,0.00022886216878048593
21,0.00021448605843921165
22,0.0002011930385348304
23,0.00018884322278345245
24,0.00017733235955419424
25,0.0001665766937049007
26,0.0001565097575555452
27,0.00014707527442703316
28,0.00013822589341150326
29,0.00012991980860954655
30,0.00012212024528390764
31,0.00011479381318690862
32,0.00010791027688905608
33,0.00010144172713300037
34,9.536245633112728e-05
35,8.964852089277109e-05
36,8.427765561580536e-05
37,7.922902624168948e-05
38,7.448315944880157e-05
39,7.002179043458234e-05
40,6.582780093533636e-05
41,6.1885116190874e-05
42,5.817864880164336e-05
43,5.4694222870077525e-05
44,5.141852310464046e-05
45,4.833903510537141e-05
46,4.5443999483696373e-05
47,4.272236263291873e-05
48,4.016373560333797e-05
49,3.7758352321226596e-05
50,3.549703290262052e-05
51,3.337114757084869e-05
52,3.1372584033517725e-05
53,2.949371600857731e-05
54,2.7727374285912987e-05
55,2.606681910855002e-05
56,2.450571454426509e-05
57,2.3038104173478402e-05
58,2.1658388405176865e-05
59,2.036130304472472e-05
60,1.9141899227248516e-05
61,1.7995524501879245e-05
62,1.6917805084615267e-05
63,1.5904629156571204e-05
64,1.4952131177858874e-05
65,1.4056677127394224e-05
66,1.321485063865424e-05
67,1.2423439960773663e-05
68,1.1679425704347324e-05
69,1.0979969314206528e-05
70,1.0322402244522522e-05
71,9.704215770511837e-06
72,9.123051419646089e-06
73,8.576691969297556e-06
74,8.063052988394048e-06
75,7.580174884003199e-06
76,7.1262154235363084e-06
77,6.699442705260239e-06
78,6.298228553802687e-06
79,5.9210423017930225e-06
80,5.566444954085981e-06
81,5.233083697264718e-06
82,4.919686735327389e-06
83,4.625058441787289e-06
84,4.3480747922153284e-06
85,4.0876790816657405e-06
86,3.842877888127205e-06
87,3.612737286884382e-06
88,3.3963792809288407e-06
89,3.1929784602979794e-06
90,3.0017588426023423e-06
91,2.8219909231630425e-06
92,2.6529888825788106e-06
93,2.494107973705084e-06
94,2.344742065396588e-06
95,2.204321324139613e-06
96,2.072310043343961e-06
97,1.9482045998664432e-06
98,1.8315315295502899e-06
99,1.7218457251111374e-06
100,1.618728735497399e-06
101,1.52178716916751e-06
102,1.4306511944006672e-06
103,1.3449731270931409e-06
104,1.2644261071503848e-06
105,1.1887028474877326e-06
106,1.117514465631686e-06
107,1.0505893770496044e-06
108,9.876722639745594e-07
109,9.285230997413407e-07
110,8.729162297438364e-07
111,8.206395138987688e-07
112,7.714935197355999e-07
113,7.252907545662879e-07
114,6.818549547205066e-07
115,6.410204151929833e-07
116,6.026313530416161e-07
117,5.665413125299779e-07
118,5.326126137905618e-07
119,5.007158176972837e-07
120,4.707292386996187e-07
121,4.4253847963915405e-07
122,4.160359929894497e-07
123,3.911206727380545e-07
124,3.6769746647458135e-07
125,3.456770159004918e-07
126,3.24975313548137e-07
127,3.0551338348061563e-07
128,2.872169773127098e-07
129,2.700162955449059e-07
130,2.5384571933351197e-07
131,2.38643556693674e-07
132,2.2435181268321003e-07
133,2.1091596402733614e-07
134,1.9828475372740684e-07
135,1.864099943293951e-07
136,1.7524638318278107e-07
137,1.6475133168825096e-07
138,1.548848025390015e-07
139,1.4560915295724897e-07
140,1.3688899835884172e-07
141,1.2869107179902528e-07
142,1.2098409740701754e-07
143,1.1373867425668038e-07
144,1.0692716112536971e-07
145,1.005235705786589e-07
146,9.450347437933715e-08
147,8.884390689800625e-08
148,8.35232760731941e-08
149,7.852128480756448e-08
150,7.381884881141332e-08
151,6.939803021133173e-08
152,6.52419620550404e-08
153,6.13347905797923e-08
154,5.7661609487169585e-08
155,5.420840487602163e-08
156,5.096200483833968e-08
157,4.79100230599272e-08
158,4.504081618783573e-08
159,4.23434385332655e-08
160,3.980760077126888e-08
161,3.7423626642052454e-08
162,3.518242297495533e-08
163,3.3075439276331053e-08
