country,w_hat,pct_change_wage_vs_US
CHN,1.02177212,2.17721178
TWN,1.00057778,0.05777824
KOR,1.00036993,0.03699293
AUS,1.00035512,0.03551207
BRA,1.00017215,0.01721521
ROW,1.00016498,0.01649837
DEU,1.00016113,0.01611259
JPN,1.00015093,0.01509342
SVK,1.00014017,0.01401725
DNK,1.00014004,0.01400353
AUT,1.00013883,0.013883
CHE,1.00012892,0.01289241
IDN,1.00011639,0.01163912
NOR,1.00011481,0.01148064
IRL,1.00011015,0.01101467
HUN,1.00010274,0.01027423
BEL,1.00010254,0.01025403
SWE,1.00010225,0.01022499
FIN,1.00010215,0.01021509
BGR,1.00010191,0.0101908
FRA,1.00010177,0.01017741
ITA,1.00009564,0.00956384
CZE,1.00008895,0.00889482
PRT,1.00008317,0.00831664
ROU,1.0000829,0.00828997
GBR,1.00008028,0.00802782
SVN,1.00007781,0.00778063
HRV,1.00007734,0.00773428
NLD,1.00007495,0.00749466
LTU,1.00006844,0.00684422
POL,1.00006811,0.00681105
ESP,1.00006755,0.00675484
RUS,1.00006305,0.00630471
IND,1.00005979,0.00597944
LVA,1.00005478,0.00547793
EST,1.00005473,0.00547348
GRC,1.00004862,0.00486173
TUR,1.00002972,0.00297247
CAN,1.0000035,0.00035034
USA,1.0,0.0
MEX,0.99996882,-0.00311792
