country,w_hat,P_hat,real_wage_hat,real_wage_pct,real_exp_hat,real_exp_pct
CHN,1.02177212,0.99785948,1.02396394,2.39639378,1.02437187,2.43718684
TWN,1.00057778,1.00037871,1.00019899,0.01989941,1.00023764,0.02376401
KOR,1.00036993,1.00025557,1.00011433,0.01143263,1.00012962,0.01296218
ROW,1.00016498,1.00006285,1.00010213,0.01021274,1.00009437,0.00943708
AUS,1.00035512,1.00028935,1.00006575,0.00657504,1.00006553,0.00655348
NLD,1.00007495,1.00002052,1.00005442,0.00544234,1.00006042,0.0060423
JPN,1.00015093,1.00010423,1.0000467,0.00467035,1.00004546,0.00454649
DEU,1.00016113,1.00011768,1.00004344,0.00434425,1.00005286,0.00528576
IDN,1.00011639,1.00007322,1.00004317,0.00431655,1.00004368,0.00436825
RUS,1.00006305,1.00002297,1.00004008,0.00400809,1.0000423,0.0042299
HUN,1.00010274,1.00006481,1.00003793,0.00379268,1.00004204,0.00420389
CZE,1.00008895,1.00005501,1.00003394,0.00339384,1.00003758,0.00375778
FIN,1.00010215,1.00007096,1.00003119,0.00311915,1.0000318,0.00317952
DNK,1.00014004,1.00010953,1.0000305,0.00305011,1.00003687,0.00368679
EST,1.00005473,1.00002518,1.00002956,0.00295586,1.00002972,0.00297205
IRL,1.00011015,1.00008077,1.00002937,0.00293701,1.00004176,0.00417577
CAN,1.0000035,0.99997641,1.0000271,0.00270961,1.00002712,0.00271165
BRA,1.00017215,1.00014646,1.00002568,0.00256836,1.00002373,0.00237313
SWE,1.00010225,1.00007662,1.00002563,0.00256263,1.0000289,0.00288965
MEX,0.99996882,0.99994432,1.0000245,0.00244984,1.0000244,0.00243998
SVK,1.00014017,1.00011629,1.00002388,0.00238842,1.00002837,0.00283654
BEL,1.00010254,1.00007882,1.00002372,0.00237157,1.00002719,0.0027191
TUR,1.00002972,1.00000781,1.00002192,0.00219178,1.00002231,0.00223139
SVN,1.00007781,1.00005739,1.00002042,0.00204187,1.00002225,0.0022252
POL,1.00006811,1.00004835,1.00001976,0.00197627,1.00002096,0.00209585
GBR,1.00008028,1.00006135,1.00001892,0.00189223,1.00001864,0.00186427
FRA,1.00010177,1.00008344,1.00001833,0.00183343,1.000018,0.00179973
IND,1.00005979,1.0000415,1.00001829,0.0018294,1.00001825,0.00182528
USA,1.0,0.99998183,1.00001817,0.00181691,1.00001817,0.00181691
BGR,1.00010191,1.00008465,1.00001725,0.00172547,1.00001495,0.00149468
CHE,1.00012892,1.00011333,1.0000156,0.00155959,1.00002413,0.00241332
AUT,1.00013883,1.00012338,1.00001545,0.0015448,1.00001829,0.00182929
ITA,1.00009564,1.00008116,1.00001448,0.00144781,1.00001612,0.00161227
NOR,1.00011481,1.00010054,1.00001426,0.00142599,1.00002349,0.00234945
LVA,1.00005478,1.00004152,1.00001326,0.00132576,1.00001255,0.00125471
ESP,1.00006755,1.00005525,1.0000123,0.0012297,1.00001248,0.00124769
LTU,1.00006844,1.00005638,1.00001206,0.00120618,1.00001392,0.00139214
GRC,1.00004862,1.00003847,1.00001015,0.00101499,1.00000791,0.00079057
ROU,1.0000829,1.00007361,1.00000929,0.00092909,1.00000937,0.00093676
HRV,1.00007734,1.00006935,1.00000799,0.00079923,1.00000826,0.00082601
PRT,1.00008317,1.00007534,1.00000782,0.00078228,1.00000651,0.00065103
