country,y0,transfer_share,real_wage_US,real_wage_CN,real_wage_diff,real_exp_US,real_exp_CN,real_exp_diff
ROW,0.95298274,0.04701726,0.01021274,0.02199509,0.01178235,0.00943708,0.11935506,0.10991798
GRC,0.95383868,0.04616132,0.00101499,0.01531295,0.01429796,0.00079057,0.11054255,0.10975198
BGR,0.97735113,0.02264887,0.00172547,0.00778547,0.00606,0.00149468,0.05578314,0.05428846
PRT,0.98421794,0.01578206,0.00078228,0.00643337,0.00565109,0.00065103,0.03975793,0.03910689
USA,0.98472459,0.01527541,0.00181691,0.0059004,0.00408349,0.00181691,0.03761314,0.03579624
LVA,0.98702789,0.01297211,0.00132576,0.00581415,0.00448839,0.00125471,0.03362113,0.03236643
BRA,0.98865749,0.01134251,0.00256836,0.00551118,0.00294282,0.00237313,0.02896681,0.02659368
JPN,0.99179296,0.00820704,0.00467035,0.0067736,0.00210325,0.00454649,0.0239264,0.01937991
GBR,0.99651656,0.00348344,0.00189223,0.00407362,0.00218139,0.00186427,0.01149581,0.00963155
FRA,0.99668762,0.00331238,0.00183343,0.00333883,0.0015054,0.00179973,0.01041834,0.00861861
IND,0.99931012,0.00068988,0.0018294,0.00268877,0.00085937,0.00182528,0.00413795,0.00231267
AUS,0.9993927,0.0006073,0.00657504,0.00665385,7.881e-05,0.00655348,0.00792274,0.00136927
ROU,1.00092487,-0.00092487,0.00092909,0.00181258,0.00088349,0.00093676,-0.00017688,-0.00111364
ESP,1.00266267,-0.00266267,0.0012297,0.00153995,0.00031025,0.00124769,-0.00415541,-0.00540309
EST,1.00295935,-0.00295935,0.00295586,0.00299203,3.618e-05,0.00297205,-0.00341131,-0.00638336
MEX,1.00316383,-0.00316383,0.00244984,0.00419767,0.00174782,0.00243998,-0.00245444,-0.00489442
HRV,1.00346294,-0.00346294,0.00079923,0.00400261,0.00320338,0.00082601,-0.00342052,-0.00424653
IDN,1.00444272,-0.00444272,0.00431655,0.00380339,-0.00051316,0.00436825,-0.00558704,-0.0099553
CAN,1.00583303,-0.00583303,0.00270961,0.00328949,0.00057988,0.00271165,-0.00897612,-0.01168778
FIN,1.00591009,-0.00591009,0.00311915,0.00309403,-2.512e-05,0.00317952,-0.0096734,-0.01285292
TUR,1.01332265,-0.01332265,0.00219178,0.00089293,-0.00129886,0.00223139,-0.02777907,-0.03001045
ITA,1.01719778,-0.01719778,0.00144781,-0.00156636,-0.00301417,0.00161227,-0.03888426,-0.04049653
POL,1.01755804,-0.01755804,0.00197627,-0.00178038,-0.00375666,0.00209585,-0.04018783,-0.04228368
CHN,1.01869627,-0.01869627,2.39639378,2.3931166,-0.00327719,2.43718684,2.3931166,-0.04407024
AUT,1.02049474,-0.02049474,0.0015448,-0.00148285,-0.00302764,0.00182929,-0.04612988,-0.04795917
SVN,1.02356382,-0.02356382,0.00204187,-0.00234402,-0.00438589,0.0022252,-0.05355602,-0.05578122
LTU,1.02717234,-0.02717234,0.00120618,-0.00027113,-0.00147731,0.00139214,-0.05886817,-0.06026031
SVK,1.03197277,-0.03197277,0.00238842,-0.00452972,-0.00691815,0.00283654,-0.07419148,-0.07702802
SWE,1.0319851,-0.0319851,0.00256263,-0.0024801,-0.00504273,0.00288965,-0.07231156,-0.07520122
BEL,1.03389477,-0.03389477,0.00237157,-0.00404532,-0.00641689,0.0027191,-0.07723472,-0.07995382
RUS,1.03518176,-0.03518176,0.00400809,-0.00052787,-0.00453597,0.0042299,-0.07747325,-0.08170315
HUN,1.04002621,-0.04002621,0.00379268,-0.00345026,-0.00724295,0.00420389,-0.09073369,-0.09493758
CZE,1.04091882,-0.04091882,0.00339384,-0.00499724,-0.00839108,0.00375778,-0.09492327,-0.09868106
KOR,1.04135758,-0.04135758,0.01143263,0.00357946,-0.00785317,0.01296218,-0.0846259,-0.09758808
DNK,1.04547111,-0.04547111,0.00305011,-0.0030266,-0.00607671,0.00368679,-0.10189596,-0.10558276
DEU,1.05844008,-0.05844008,0.00434425,-0.0050454,-0.00938966,0.00528576,-0.13332696,-0.13861272
CHE,1.06622738,-0.06622738,0.00155959,-0.00679277,-0.00835236,0.00241332,-0.15195778,-0.1543711
TWN,1.06691214,-0.06691214,0.01989941,0.00703431,-0.0128651,0.02376401,-0.13441927,-0.15818328
NLD,1.08005356,-0.08005356,0.00544234,-0.01095349,-0.01639583,0.0060423,-0.18697299,-0.19301529
NOR,1.08044416,-0.08044416,0.00142599,-0.01037521,-0.01180121,0.00234945,-0.18927507,-0.19162452
IRL,1.11247338,-0.11247338,0.00293701,-0.01524109,-0.0181781,0.00417577,-0.25706754,-0.26124331
